Entry,Entry Name
A0A087X1C5,CP2D7_HUMAN
A0A0B4J2F0,PIOS1_HUMAN
A0A0B4J2F2,SIK1B_HUMAN
A0A0C5B5G6,MOTSC_HUMAN
A0A0K2S4Q6,CD3CH_HUMAN
A0A0U1RRE5,NBDY_HUMAN
A0A1B0GTW7,CIROP_HUMAN
A0AV02,S12A8_HUMAN
A0AV96,RBM47_HUMAN
A0AVF1,IFT56_HUMAN
A0AVI4,TM129_HUMAN
A0AVK6,E2F8_HUMAN
A0AVT1,UBA6_HUMAN
A0FGR8,ESYT2_HUMAN
A0FGR9,ESYT3_HUMAN
A0JLT2,MED19_HUMAN
A0JNW5,BLT3B_HUMAN
A0JP26,POTB3_HUMAN
A0MZ66,SHOT1_HUMAN
A0PJK1,SC5AA_HUMAN
A0PJY2,FEZF1_HUMAN
A0PK00,T120B_HUMAN
A0PK11,CLRN2_HUMAN
A1A4S6,RHG10_HUMAN
A1A4Y4,IRGM_HUMAN
A1A519,F170A_HUMAN
A1A5B4,ANO9_HUMAN
A1A5C7,S22AN_HUMAN
A1E959,ODAM_HUMAN
A1KXE4,F168B_HUMAN
A1KZ92,PXDNL_HUMAN
A1L0T0,HACL2_HUMAN
A1L167,U2QL1_HUMAN
A1L190,SYCE3_HUMAN
A1L390,PKHG3_HUMAN
A1L3X0,ELOV7_HUMAN
A1L4H1,SRCRL_HUMAN
A1L4K1,FSD2_HUMAN
A1X283,SPD2B_HUMAN
A1XBS5,CBAR1_HUMAN
A1Z1Q3,MACD2_HUMAN
A2A288,ZC12D_HUMAN
A2A2Y4,FRMD3_HUMAN
A2IDD5,CCD78_HUMAN
A2PYH4,HFM1_HUMAN
A2RRP1,NBAS_HUMAN
A2RTX5,SYTC2_HUMAN
A2RU14,TM218_HUMAN
A2RU30,TESP1_HUMAN
A2RU49,HYKK_HUMAN
A2RUB1,MEIOC_HUMAN
A2RUB6,CCD66_HUMAN
A2RUC4,TYW5_HUMAN
A2RUH7,MBPHL_HUMAN
A2VDJ0,T131L_HUMAN
A2VEC9,SSPO_HUMAN
A3KMH1,VWA8_HUMAN
A4D0S4,LAMB4_HUMAN
A4D126,ISPD_HUMAN
A4D161,F221A_HUMAN
A4D1B5,GSAP_HUMAN
A4D1E9,GTPBA_HUMAN
A4D1P6,WDR91_HUMAN
A4D1T9,PRS37_HUMAN
A4D256,CC14C_HUMAN
A4D2B0,MBLC1_HUMAN
A4D2B8,PM2P1_HUMAN
A4GXA9,EME2_HUMAN
A4UGR9,XIRP2_HUMAN
A5D8T8,CL18A_HUMAN
A5D8V6,VP37C_HUMAN
A5D8V7,ODAD3_HUMAN
A5D8W1,CFA69_HUMAN
A5LHX3,PSB11_HUMAN
A5PKW4,PSD1_HUMAN
A5PLL7,PDES1_HUMAN
A5X5Y0,5HT3E_HUMAN
A5YKK6,CNOT1_HUMAN
A5YM72,CRNS1_HUMAN
A6BM72,MEG11_HUMAN
A6H8Y1,BDP1_HUMAN
A6H8Z2,F221B_HUMAN
A6NC98,CC88B_HUMAN
A6NCS4,NKX26_HUMAN
A6ND01,JUNO_HUMAN
A6ND36,FA83G_HUMAN
A6NDB9,PALM3_HUMAN
A6NDE4,RBY1B_HUMAN
A6NDG6,PGP_HUMAN
A6NDV4,TMM8B_HUMAN
A6NED2,RCCD1_HUMAN
A6NEM1,GG6L9_HUMAN
A6NFA1,TIKI2_HUMAN
A6NFQ2,TCAF2_HUMAN
A6NFX1,MFS2B_HUMAN
A6NFY7,SDHF1_HUMAN
A6NGG8,PCARE_HUMAN
A6NGQ2,OOEP_HUMAN
A6NGU5,GGT3_HUMAN
A6NHL2,TBAL3_HUMAN
